Rank,Median Household Income ▼,Zip,Population
760,"59,878.00",90501,"43,407"
761,"59,844.00",95634,"3,143"
762,"59,832.00",95962,"1,285"
763,"59,738.00",93461,"1,661"
764,"59,728.00",92278,"4,156"
765,"59,699.00",94544,"76,508"
766,"59,679.00",92139,"37,450"
767,"59,628.00",94702,"16,868"
768,"59,545.00",95441,"1,989"
769,"59,502.00",91746,"29,420"
770,"59,412.00",92704,"87,121"
771,"59,375.00",95497,983
772,"59,302.00",92399,"54,056"
773,"59,150.00",94709,"12,030"
774,"59,125.00",90024,"50,117"
774,"59,125.00",93602,"4,207"
776,"59,099.00",91103,"27,684"
777,"59,056.00",95367,"24,045"
778,"59,028.00",95615,"1,090"
779,"58,993.00",91324,"29,178"
780,"58,913.00",95959,"17,013"
781,"58,889.00",96096,814
782,"58,854.00",93226,363
783,"58,853.00",92832,"25,247"
784,"58,810.00",95470,"6,874"
785,"58,659.00",94595,"16,837"
786,"58,643.00",94567,730
787,"58,613.00",94703,"21,421"
788,"58,517.00",95694,"9,574"
789,"58,500.00",92706,"36,585"
789,"58,500.00",95232,217
791,"58,438.00",95957,773
